second,bits,complete_second
398,50911632,True
399,58147584,True
400,46076376,True
401,42752520,True
402,52758008,True
403,50702776,True
404,49341552,True
405,47635688,True
406,52889912,True
407,47450600,True
408,47884680,True
409,51714600,True
410,52267264,True
411,50206664,True
412,50150184,True
413,50340040,True
414,49801368,True
415,50530584,True
416,49074216,True
417,49647736,True
418,48839704,True
419,49892344,True
420,53913744,True
421,47533704,True
422,47827776,True
423,53304056,True
424,47907144,True
425,53336240,True
426,49872960,True
427,49715640,True
428,50200096,True
429,50878856,True
430,48218256,True
431,51114408,True
432,45956808,True
433,48308784,True
434,50053568,True
435,50420656,True
436,49411832,True
437,51387776,True
438,52609784,True
439,49783672,True
440,49132728,True
441,51157296,True
442,48390144,True
443,51615128,True
444,48611472,True
445,51801080,True
446,52286312,True
447,47324544,True
448,48985904,True
449,49448744,True
450,51781216,True
451,50374984,True
452,45813832,True
453,50446656,True
454,49700552,True
455,54690248,True
456,49299264,True
457,48224880,True
458,50371568,True
459,49669872,True
460,50719520,True
461,52851416,True
462,48821456,True
463,46672952,True
464,48615448,True
465,58430400,True
466,42974408,True
467,52476440,True
468,49372680,True
469,53501672,True
470,48364216,True
471,48092360,True
472,50096968,True
473,50612800,True
474,54992416,True
475,41772176,True
476,48877064,True
477,51377312,True
478,48733096,True
479,50160880,True
480,54861296,True
481,50689864,True
482,48155968,True
483,48884144,True
484,49268960,True
485,46605496,True
486,50618264,True
487,50702936,True
488,56036248,True
489,48597256,True
490,49755000,True
491,51091952,True
492,50361056,True
493,49449144,True
494,49249984,True
495,50532312,True
496,50040216,True
497,49842248,True
498,46715896,True
499,51497368,True
500,50921416,True
501,48862240,True
502,50526576,True
503,50199440,True
504,52181144,True
505,48094304,True
506,46062296,True
507,55963376,True
508,48367816,True
509,47027624,True
510,48864776,True
511,54997656,True
512,51313168,True
513,45382648,True
514,53681304,True
515,48766688,True
516,50328160,True
517,50431344,True
518,50075520,True
519,47403304,True
520,47610296,True
521,54156552,True
522,47219088,True
523,47544048,True
524,55445648,True
525,49412000,True
526,50012728,True
527,48822192,True
528,65986056,True
529,60310104,True
530,50846320,True
531,37339072,True
532,42544984,True
533,43515000,True
534,51411712,True
535,63695968,True
536,51222816,True
537,41142752,True
538,43386000,True
539,47787504,True
540,51801232,True
541,53827312,True
542,49538864,True
543,50215416,True
544,46704488,True
545,53749176,True
546,47954128,True
547,46800928,True
548,50528216,True
549,50175968,True
550,60129152,True
551,55285712,True
552,47492512,True
553,43766784,True
554,45307896,True
555,49404176,True
556,54976392,True
557,58931424,True
558,59586680,True
559,52108656,True
560,52586744,True
561,46666552,True
562,49823192,True
563,52356352,True
564,49571808,True
565,51093264,True
566,51460360,True
567,45142072,True
568,49518984,True
569,50141920,True
570,48872848,True
571,53156280,True
572,50607720,True
573,49563680,True
574,41497880,True
575,39791352,True
576,43455400,True
577,45810008,True
578,54993432,True
579,45879992,True
580,52854552,True
581,49322768,True
582,50053400,True
583,46612656,True
584,50480184,True
585,50308064,True
586,48773360,True
587,51327176,True
588,50463064,True
589,52411632,True
590,50812416,True
591,49087536,True
592,49726512,True
593,51385232,True
594,49664360,True
595,51355560,True
596,47931880,True
597,50272160,True
598,50353984,True
599,49868448,True
600,49750816,True
601,48284200,True
602,50776488,True
603,46580368,True
604,57562104,True
605,45549232,True
606,51634784,True
607,48570672,True
608,52376808,True
609,46922888,True
610,51921376,True
611,50610184,True
612,51446408,True
613,47143280,True
614,49389584,True
615,51632600,True
616,54356864,True
617,47053096,True
618,47911440,True
619,45408352,True
620,58099392,True
621,46956480,True
622,49278128,True
623,50642768,True
624,50653296,True
625,53138944,True
626,45948360,True
627,46868472,True
628,49697136,True
629,51983232,True
630,51557728,True
631,49727928,True
632,50607440,True
633,51949760,True
634,53862152,True
635,56130680,True
636,48622424,True
637,44355104,True
638,47606560,True
639,47396464,True
640,48713336,True
641,49072640,True
642,50187656,True
643,46620808,True
644,57543928,True
645,45714408,True
646,50810736,True
647,54808968,True
648,45744144,True
649,49429104,True
650,51525272,True
651,50104272,True
652,51295272,True
653,47984288,True
654,50624944,True
655,55655024,True
656,49945416,True
657,47609152,True
658,48300856,True
659,47216440,True
660,56354504,True
661,50248016,True
662,45349336,True
663,49927512,True
664,50533232,True
665,53320232,True
666,48083752,True
667,48096752,True
668,52677776,True
669,45930896,True
670,53634208,True
671,46983592,True
672,48343312,True
673,51335104,True
674,49366976,True
675,54842792,True
676,45935624,True
677,49935640,True
678,48877080,True
679,58282368,True
680,49072776,True
681,48139968,True
682,46056184,True
683,52101216,True
684,55917592,True
685,53427512,True
686,37843520,True
687,53427136,True
688,48143232,True
689,58205584,True
690,62858704,True
691,49032696,True
692,52506792,True
693,49935432,True
694,51461576,True
695,53582168,True
696,46819256,True
697,50828024,True
698,48663224,True
699,53078752,True
700,48057312,True
701,49858600,True
702,38505184,True
703,43156488,True
704,47918512,True
705,49103680,True
706,45090640,True
707,49370704,True
708,52632464,True
709,49303016,True
710,49387576,True
711,49800120,True
712,52331424,True
713,47034800,True
714,51169856,True
715,54451400,True
716,44782080,True
717,51325176,True
718,54950936,True
719,43727128,True
720,51173016,True
721,48744776,True
722,50511408,True
723,55094032,True
724,45357728,True
725,49549344,True
726,53415560,True
727,48103848,True
728,50222056,True
729,47483192,True
730,55641704,True
731,46039760,True
732,50046024,True
733,50668320,True
734,47732392,True
735,51461376,True
736,55136696,True
737,47695416,True
738,57234408,True
739,44033408,True
740,48730224,True
741,49882624,True
742,49242192,True
743,51111168,True
744,45459888,True
745,53128960,True
746,53221472,True
747,47423472,True
748,45131976,True
749,52011528,True
750,52420440,True
751,56650968,True
752,47012872,True
753,51980384,True
754,49666120,True
755,65276560,True
756,49432912,True
757,52933976,True
758,45673920,True
759,53774872,True
760,49059824,True
761,52758456,True
762,47769200,True
763,50270928,True
764,52876616,True
765,46083848,True
766,53343528,True
767,45408144,True
768,56598088,True
769,47501736,True
770,46458792,True
771,52596088,True
772,36307312,True
773,36825808,True
774,50759664,True
775,55811560,True
776,50395208,True
777,48700208,True
778,45708728,True
779,50385528,True
780,49260192,True
781,54614448,True
782,44549784,True
783,56360600,True
784,43935768,True
785,56672800,True
786,51850272,True
787,42247936,True
788,48320672,True
789,61147944,True
790,49154664,True
791,50553048,True
792,41445840,True
793,50305608,True
794,55907880,True
795,43262496,True
796,50204240,True
797,50188344,True
798,49005536,True
799,55534504,True
800,43509968,True
801,55815584,True
802,43567720,True
803,56713168,True
804,43485136,True
805,49053872,True
806,49179128,True
807,50062480,True
808,50893568,True
809,52568248,True
810,56332152,True
811,52497840,True
812,50515784,True
813,46840608,True
814,44782208,True
815,55533032,True
816,51278040,True
817,47491888,True
818,42989816,True
819,49871328,True
820,49268712,True
821,50657840,True
822,49129040,True
823,55274360,True
824,53803944,True
825,43478112,True
826,48558872,True
827,50661072,True
828,56649264,True
829,44589720,True
830,54971704,True
831,44212208,True
832,49032104,True
833,51160800,True
834,49077088,True
835,48476528,True
836,50098224,True
837,54614792,True
838,52764760,True
839,44530576,True
840,55545568,True
841,49075848,True
842,46326232,True
843,56257416,True
844,44600416,True
845,53522568,True
846,44626912,True
847,48920688,True
848,50445296,True
849,54455608,True
850,54280560,True
851,56509288,True
852,54551984,True
853,41839544,True
854,47762928,True
855,42544096,True
856,48201976,True
857,48771336,True
858,49954496,True
859,51499192,True
860,49109432,True
861,51409184,True
862,50453296,True
863,50560032,True
864,55011056,True
865,50775640,True
866,44343256,True
867,52565880,True
868,45582000,True
869,54671120,True
870,50780144,True
871,50122440,True
872,50517880,True
873,50378136,True
874,51629368,True
875,51432280,True
876,48547832,True
877,47068488,True
878,55483096,True
879,48859152,True
880,49127120,True
881,43817968,True
882,46569960,True
883,49997104,True
884,50344672,True
885,49687096,True
886,50868744,True
887,55656800,True
888,52156968,True
889,43778104,True
890,48306128,True
891,50085712,True
892,57546000,True
893,49688448,True
894,57379360,True
895,56551896,True
896,41960584,True
897,47959224,True
898,47730056,True
899,44453280,True
900,52689296,True
901,46771880,True
902,51133440,True
903,46067392,True
904,50262312,True
905,48713400,True
906,49564728,True
907,51092496,True
908,59296424,True
909,44747504,True
910,51726920,True
911,50863240,True
912,50010024,True
913,53995120,True
914,57618072,True
915,43235496,True
916,46310952,True
917,49210072,True
918,50528120,True
919,57778920,True
920,41931744,True
921,51597600,True
922,48835240,True
923,47622056,True
924,47589176,True
925,52643872,True
926,50435576,True
927,52892768,True
928,45534024,True
929,48631912,True
930,54581160,True
931,46270560,True
932,49869648,True
933,52001536,True
934,51464072,True
935,50128800,True
936,49001000,True
937,50060760,True
938,49948480,True
939,46877288,True
940,49229888,True
941,49632960,True
942,51934704,True
943,49921008,True
944,51577912,True
945,48421264,True
946,50111072,True
947,53711248,True
948,72715224,True
949,43388664,True
950,57150376,True
951,49997136,True
952,49737920,True
953,45654152,True
954,36326344,True
955,45300952,True
956,48684936,True
957,50485784,True
958,47080544,True
959,50134800,True
960,49733856,True
961,51012624,True
962,50211712,True
963,74195872,True
964,43384088,True
965,57375712,True
966,48519344,True
967,48684568,True
968,49353096,True
969,49741936,True
970,48197968,True
971,56816200,True
972,46757632,True
973,47252368,True
974,36315304,True
975,44600736,True
976,50252640,True
977,48550128,True
978,47209512,True
979,48681384,True
980,53821256,True
981,55900288,True
982,46145360,True
983,48210120,True
984,48686976,True
985,50321920,True
986,49561728,True
987,51999424,True
988,51465880,True
989,46505088,True
990,50053496,True
991,51145528,True
992,73777224,True
993,48038496,True
994,57258696,True
995,42442400,True
996,49438768,True
997,59165456,True
998,48190096,True
999,46919512,True
1000,45642360,True
1001,44997568,True
1002,52971288,True
1003,44064592,True
1004,34913376,True
1005,46520432,True
1006,50425536,True
1007,48224480,True
1008,47203184,True
1009,54135672,True
1010,49679136,True
1011,51556552,True
1012,47907984,True
1013,51753136,True
1014,49499136,True
1015,51495472,True
1016,76054784,True
1017,40843896,True
1018,58031112,True
1019,45888112,True
1020,47275792,True
1021,57312728,True
1022,47619664,True
1023,48519440,True
1024,51670720,True
1025,31693712,True
1026,44793096,True
1027,49487680,True
1028,68535880,True
1029,42805640,True
1030,40217352,True
1031,48473896,True
1032,49266960,True
1033,50467408,True
1034,48352224,True
1035,49710232,True
1036,49188920,True
1037,50068648,True
1038,53159464,True
1039,48446648,True
1040,50705368,True
1041,50283016,True
1042,48928624,True
1043,74890320,True
1044,44600048,True
1045,35516272,True
1046,48354928,True
1047,44623008,True
1048,50153496,True
1049,46093488,True
1050,56982000,True
1051,49907336,True
1052,49460464,True
1053,48353848,True
1054,50851344,True
1055,50237128,True
1056,55699672,True
1057,47588168,True
1058,50205120,True
1059,46172296,True
1060,51469096,True
1061,48477280,True
1062,50486520,True
1063,51861496,True
1064,47853288,True
1065,53374064,True
1066,45912544,True
1067,50337872,True
1068,50850984,True
1069,48249464,True
1070,51509456,True
1071,50984944,True
1072,49299072,True
1073,50057640,True
1074,48879176,True
1075,51134240,True
1076,47528568,True
1077,50647664,True
1078,50321320,True
1079,52432504,True
1080,51559120,True
1081,49305744,True
1082,51751584,True
1083,46363640,True
1084,50649776,True
1085,49973256,True
1086,50512072,True
1087,49947984,True
1088,49791712,True
1089,50091656,True
1090,53478360,True
1091,47483696,True
1092,49081592,True
1093,46714080,True
1094,53175160,True
1095,49417624,True
1096,54175808,True
1097,45530520,True
1098,49214624,True
1099,52000112,True
1100,49099392,True
1101,48019752,True
1102,50217056,True
1103,48540616,True
1104,48547992,True
1105,54430080,True
1106,49787096,True
1107,50998944,True
1108,47557184,True
1109,50519664,True
1110,51971272,True
1111,53289312,True
1112,46028296,True
1113,48202800,True
1114,49982184,True
1115,52700688,True
1116,73695864,True
1117,45533152,True
1118,56384104,True
1119,43616688,True
1120,57839560,True
1121,45687240,True
1122,52304280,True
1123,52908144,True
1124,34532112,True
1125,40665408,True
1126,48767304,True
1127,48309344,True
1128,49931168,True
1129,48548928,True
1130,51278888,True
1131,48168976,True
1132,52371424,True
1133,48526120,True
1134,48157880,True
1135,47043312,True
1136,52982304,True
1137,51977184,True
1138,49506632,True
1139,51978408,True
1140,49648312,True
1141,49821176,True
1142,48358408,True
1143,50054640,True
1144,47943704,True
1145,54444664,True
1146,70551880,True
1147,47352384,True
1148,56235984,True
1149,50112976,True
1150,52668176,True
1151,46789400,True
1152,48531336,True
1153,48692080,True
1154,57951040,True
1155,46274768,True
1156,47601240,True
1157,48524800,True
1158,50336384,True
1159,47808960,True
1160,46994200,True
1161,40119168,True
1162,45251208,True
1163,46314416,True
1164,50074424,True
1165,48306304,True
1166,53667776,True
1167,47379128,True
1168,48786080,True
1169,49063224,True
1170,50278312,True
1171,50116544,True
1172,48332920,True
1173,52049320,True
1174,51449944,True
1175,47723208,True
1176,51759816,True
1177,47267088,True
1178,52502624,True
1179,49887280,True
1180,47910824,True
1181,52154464,True
1182,52774352,True
1183,48886080,True
1184,49410672,True
1185,54034344,True
1186,48577584,True
1187,49534656,True
1188,49110848,True
1189,48447888,True
1190,50425144,True
1191,49146160,True
1192,50352728,True
1193,51966424,True
1194,47516352,True
1195,49149480,True
1196,48538976,True
1197,52426480,True
1198,52082496,True
1199,50577656,True
1200,49871904,True
1201,45582056,True
1202,49048824,True
1203,50374224,True
1204,53922688,True
1205,49187888,True
1206,47541288,True
1207,49941960,True
1208,54518376,True
1209,49083760,True
1210,49400232,True
1211,50396144,True
1212,49042240,True
1213,50038928,True
1214,52524896,True
1215,49939424,True
1216,47552088,True
1217,48941344,True
1218,53728440,True
1219,50908232,True
1220,49107464,True
1221,52426976,True
1222,48057192,True
1223,48656576,True
1224,48276976,True
1225,50154344,True
1226,50483208,True
1227,48921256,True
1228,50598176,True
1229,51612608,True
1230,51780736,True
1231,50034816,True
1232,47350648,True
1233,51283032,True
1234,49795568,True
1235,48523296,True
1236,54172984,True
1237,50271760,True
1238,57125688,True
1239,54276928,True
1240,40044536,True
1241,46108144,True
1242,50075544,True
1243,46476880,True
1244,48760216,True
1245,56673880,True
1246,45547248,True
1247,52906376,True
1248,72468544,True
1249,37239336,True
1250,40229912,True
1251,49205688,True
1252,48470856,True
1253,47975296,True
1254,54136064,True
1255,52812336,True
1256,49675128,True
1257,49171104,True
1258,51304680,True
1259,48834872,True
1260,49064800,True
1261,46057880,True
1262,49959272,True
1263,47263632,True
1264,55017640,True
1265,48479104,True
1266,51334952,True
1267,48600544,True
1268,49775752,True
1269,48594568,True
1270,49055184,True
1271,50808496,True
1272,51697792,True
1273,51834360,True
1274,47181920,True
1275,50180248,True
1276,47991872,True
1277,52955584,True
1278,51399728,True
1279,50368432,True
1280,47620560,True
1281,51512368,True
1282,53000536,True
1283,46575768,True
1284,53046784,True
1285,47096528,True
1286,50377096,True
1287,53148640,True
1288,47698864,True
1289,47870800,True
1290,51249944,True
1291,51355728,True
1292,51534864,True
1293,50374816,True
1294,46034976,True
1295,52748512,True
1296,50835184,True
1297,51888944,True
1298,47390320,True
1299,49302248,True
1300,48710632,True
1301,45589144,True
1302,55266720,True
1303,51633552,True
1304,48899616,True
1305,47097968,True
1306,54325952,True
1307,46901824,True
1308,50052624,True
1309,49214488,True
1310,49213128,True
1311,51683560,True
1312,50661072,True
1313,49849680,True
1314,49823000,True
1315,51660752,True
1316,49016272,True
1317,49694640,True
1318,71270272,True
1319,52395488,True
1320,39150000,True
1321,40095312,True
1322,49102840,True
1323,51171512,True
1324,47326264,True
1325,51281968,True
1326,48524568,True
1327,49964568,True
1328,47280056,True
1329,52656040,True
1330,47864528,True
1331,49449824,True
1332,53867752,True
