second_in_013,studio_bps,sdk_bps
0,51424560.0,78728664.0
1,47306608.0,83860904.0
2,54588376.0,85226080.0
3,45042424.0,96970088.0
4,52361944.0,82057168.0
5,52278072.0,78708224.0
6,49914360.0,79980240.0
7,50856296.0,89822560.0
8,46275072.0,76388000.0
9,58031712.0,81385184.0
10,47244440.0,78604256.0
11,47381304.0,76580112.0
12,49389168.0,76677168.0
13,50453920.0,80105752.0
14,52728400.0,76936080.0
15,46235600.0,81300984.0
16,46735048.0,83293848.0
17,55552016.0,81298152.0
18,49699072.0,82896320.0
19,52292440.0,85171864.0
20,45892040.0,76343208.0
21,50100360.0,73484328.0
22,52599128.0,73716440.0
23,47679392.0,85009800.0
24,52436384.0,82773560.0
25,44900624.0,75652408.0
26,54165648.0,87892520.0
27,47730120.0,85305664.0
28,49487528.0,75525536.0
29,51282544.0,77143992.0
30,51169528.0,77677520.0
31,52852088.0,80452592.0
32,48273376.0,77336408.0
33,45556872.0,77756352.0
34,51237408.0,85091664.0
35,53891824.0,77612384.0
36,45075200.0,79627800.0
37,52236064.0,78323672.0
38,50649192.0,83507176.0
39,49452464.0,79233920.0
40,65017432.0,77529320.0
41,38148936.0,82476760.0
42,48889912.0,78180344.0
43,52656944.0,77946184.0
44,48261168.0,82123528.0
45,49973648.0,88604936.0
46,48664808.0,79940456.0
47,53343584.0,82948720.0
48,46515040.0,81123000.0
49,49941144.0,77985168.0
50,52662184.0,77524784.0
51,49030984.0,76462984.0
52,48538648.0,83195464.0
53,51256664.0,84026368.0
54,48750184.0,77556104.0
55,49377824.0,74353664.0
56,50414624.0,80994800.0
57,52767720.0,81058088.0
58,45610456.0,75275256.0
59,49990616.0,81029744.0
60,48730448.0,83086672.0
61,47406000.0,75562192.0
62,53763136.0,80056656.0
63,50538712.0,86203544.0
64,50024984.0,77810072.0
65,53445888.0,81863032.0
66,45172392.0,74467560.0
67,51430688.0,78624512.0
68,50366488.0,80472040.0
69,48227688.0,78522736.0
70,50952424.0,81535520.0
71,46451192.0,80154256.0
72,51420592.0,80926936.0
73,53900008.0,80068416.0
74,50062488.0,81994032.0
75,49255224.0,72911936.0
76,48862240.0,88676184.0
77,49469984.0,77386984.0
78,52106224.0,80720432.0
79,49605544.0,76695944.0
80,49510640.0,81322680.0
81,45296112.0,79133216.0
82,57018120.0,81204416.0
83,46994232.0,86693144.0
84,50785768.0,74139720.0
85,48300720.0,80313760.0
86,51174888.0,77485072.0
87,53653136.0,80981984.0
88,46562120.0,83850880.0
89,52394280.0,84618032.0
90,46201640.0,77367824.0
91,48051576.0,79708360.0
92,54912200.0,79404880.0
93,48757752.0,78384616.0
94,51868480.0,79284856.0
95,49873640.0,86252432.0
96,44971984.0,77315056.0
97,55632704.0,88002736.0
98,53043784.0,75640008.0
99,59434152.0,77252904.0
100,48650320.0,77654816.0
101,38157840.0,86655024.0
102,57629968.0,80950864.0
103,44656512.0,78583920.0
104,47405672.0,76988872.0
105,47881016.0,74255208.0
106,50254208.0,75016088.0
107,52554664.0,81170224.0
108,47834552.0,81308032.0
109,50991512.0,82474448.0
110,50832968.0,81809824.0
111,47921632.0,80809592.0
112,51429184.0,76220648.0
113,50992672.0,79189912.0
114,50111472.0,86576896.0
115,48564512.0,82595632.0
116,48775264.0,79311448.0
117,50731048.0,78768736.0
118,48735040.0,83727752.0
119,53209288.0,81029728.0
120,50874296.0,80272584.0
121,48685936.0,76489944.0
122,45604336.0,75888040.0
123,53390184.0,78160784.0
124,50936848.0,76994496.0
125,46180880.0,77289488.0
126,49837344.0,84120728.0
127,50480792.0,78819456.0
128,49966616.0,82001232.0
129,53735232.0,84323624.0
130,48308344.0,76255576.0
131,52857248.0,79192000.0
132,53448144.0,81441128.0
133,43385064.0,81519328.0
134,46733896.0,81180240.0
135,54184024.0,80934632.0
136,49352104.0,73753696.0
137,49791080.0,76955176.0
138,50757176.0,83332928.0
139,49929464.0,81516744.0
140,48543440.0,80242616.0
141,48190784.0,77707328.0
142,54517776.0,78842232.0
143,48497392.0,82081224.0
144,50417632.0,81717368.0
145,50105832.0,83692072.0
146,49104144.0,77883048.0
147,50508128.0,82647128.0
