second,bits,complete_second
0,78728664,True
1,83860904,True
2,85226080,True
3,96970088,True
4,82057168,True
5,78708224,True
6,79980240,True
7,89822560,True
8,76388000,True
9,81385184,True
10,78604256,True
11,76580112,True
12,76677168,True
13,80105752,True
14,76936080,True
15,81300984,True
16,83293848,True
17,81298152,True
18,82896320,True
19,85171864,True
20,76343208,True
21,73484328,True
22,73716440,True
23,85009800,True
24,82773560,True
25,75652408,True
26,87892520,True
27,85305664,True
28,75525536,True
29,77143992,True
30,77677520,True
31,80452592,True
32,77336408,True
33,77756352,True
34,85091664,True
35,77612384,True
36,79627800,True
37,78323672,True
38,83507176,True
39,79233920,True
40,77529320,True
41,82476760,True
42,78180344,True
43,77946184,True
44,82123528,True
45,88604936,True
46,79940456,True
47,82948720,True
48,81123000,True
49,77985168,True
50,77524784,True
51,76462984,True
52,83195464,True
53,84026368,True
54,77556104,True
55,74353664,True
56,80994800,True
57,81058088,True
58,75275256,True
59,81029744,True
60,83086672,True
61,75562192,True
62,80056656,True
63,86203544,True
64,77810072,True
65,81863032,True
66,74467560,True
67,78624512,True
68,80472040,True
69,78522736,True
70,81535520,True
71,80154256,True
72,80926936,True
73,80068416,True
74,81994032,True
75,72911936,True
76,88676184,True
77,77386984,True
78,80720432,True
79,76695944,True
80,81322680,True
81,79133216,True
82,81204416,True
83,86693144,True
84,74139720,True
85,80313760,True
86,77485072,True
87,80981984,True
88,83850880,True
89,84618032,True
90,77367824,True
91,79708360,True
92,79404880,True
93,78384616,True
94,79284856,True
95,86252432,True
96,77315056,True
97,88002736,True
98,75640008,True
99,77252904,True
100,77654816,True
101,86655024,True
102,80950864,True
103,78583920,True
104,76988872,True
105,74255208,True
106,75016088,True
107,81170224,True
108,81308032,True
109,82474448,True
110,81809824,True
111,80809592,True
112,76220648,True
113,79189912,True
114,86576896,True
115,82595632,True
116,79311448,True
117,78768736,True
118,83727752,True
119,81029728,True
120,80272584,True
121,76489944,True
122,75888040,True
123,78160784,True
124,76994496,True
125,77289488,True
126,84120728,True
127,78819456,True
128,82001232,True
129,84323624,True
130,76255576,True
131,79192000,True
132,81441128,True
133,81519328,True
134,81180240,True
135,80934632,True
136,73753696,True
137,76955176,True
138,83332928,True
139,81516744,True
140,80242616,True
141,77707328,True
142,78842232,True
143,82081224,True
144,81717368,True
145,83692072,True
146,77883048,True
147,82647128,True
148,80090168,True
149,76731976,True
150,74300680,True
151,1242560,False
